iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,titleLink
RWA,Rwanda,MtCO2e,0.52,0.47,0.48,0.48,0.46,0.45,0.46,0.48,0.48,0.50,0.52,0.52,0.52,0.51,0.52,0.51,0.51,0.54,0.53,0.56,0.58,0.64,0.72,0.78,0.83,0.97,1.05,1.16,1.29,1.37,1.37,1.55,1.55,[object Object]
SWZ,Eswatini,MtCO2e,0.96,0.87,0.83,0.71,1.08,1.06,0.79,1.14,1.16,1.24,1.21,1.10,1.08,1.00,1.00,1.01,1.01,1.04,1.02,1.06,1.00,1.01,1.17,1.40,0.77,0.87,1.06,0.99,1.03,1.12,1.09,1.13,1.26,[object Object]
SLE,Sierra Leone,MtCO2e,0.50,0.56,0.28,0.26,0.27,0.22,0.23,0.21,0.22,0.18,0.27,0.37,0.50,0.53,0.52,0.43,0.58,0.49,0.51,0.50,0.54,0.71,0.83,1.05,1.13,1.08,1.14,1.09,1.03,1.00,1.03,1.11,1.13,[object Object]
LBR,Liberia,MtCO2e,0.46,0.37,0.39,0.42,0.42,0.42,0.43,0.45,0.47,0.38,0.40,0.42,0.43,0.46,0.55,0.65,0.67,0.63,0.53,0.47,0.76,0.85,0.96,0.87,0.82,0.47,0.50,0.89,0.42,1.02,0.77,0.87,0.88,[object Object]
BDI,Burundi,MtCO2e,0.21,0.24,0.22,0.23,0.23,0.24,0.24,0.25,0.25,0.25,0.27,0.21,0.21,0.16,0.20,0.15,0.18,0.20,0.21,0.17,0.30,0.34,0.35,0.36,0.35,0.36,0.43,0.51,0.65,0.69,0.74,0.80,0.80,[object Object]
GMB,Gambia,MtCO2e,0.20,0.20,0.20,0.21,0.21,0.22,0.22,0.22,0.24,0.27,0.27,0.30,0.30,0.30,0.32,0.32,0.35,0.35,0.36,0.37,0.43,0.44,0.45,0.43,0.51,0.58,0.59,0.59,0.65,0.71,0.70,0.76,0.77,[object Object]
ERI,Eritrea,MtCO2e,false,false,false,false,0.74,0.82,0.90,0.81,0.59,0.62,0.60,0.63,0.60,0.71,0.77,0.77,0.55,0.56,0.41,0.50,0.50,0.58,0.61,0.57,0.57,0.55,0.56,0.56,0.62,0.65,0.64,0.70,0.70,[object Object]
SYC,Seychelles,MtCO2e,0.15,0.17,0.17,0.18,0.20,0.20,0.23,0.27,0.29,0.30,0.32,0.34,0.35,0.34,0.37,0.38,0.38,0.40,0.41,0.44,0.44,0.41,0.43,0.41,0.46,0.50,0.55,0.58,0.60,0.59,0.61,0.66,0.66,[object Object]
SOM,Somalia,MtCO2e,0.78,0.70,0.67,0.63,0.62,0.59,0.58,0.53,0.51,0.49,0.48,0.50,0.56,0.56,0.56,0.56,0.56,0.61,0.60,0.60,0.61,0.61,0.61,0.63,0.63,0.63,0.64,0.64,0.64,0.64,0.60,0.65,0.65,[object Object]
CPV,Cape Verde,MtCO2e,0.18,0.16,0.18,0.17,0.18,0.20,0.22,0.23,0.24,0.29,0.30,0.35,0.38,0.41,0.43,0.45,0.49,0.51,0.47,0.52,0.56,0.62,0.50,0.49,0.49,0.49,0.49,0.51,0.54,0.56,0.52,0.56,0.57,[object Object]
COM,Comoros,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.10,0.10,0.11,0.11,0.14,0.15,0.14,0.16,0.11,0.11,0.14,0.16,0.14,0.15,0.18,0.16,0.18,0.22,0.27,0.29,0.31,0.38,0.42,0.41,[object Object]
GNB,Guinea-Bissau,MtCO2e,0.17,0.18,0.18,0.18,0.18,0.18,0.21,0.20,0.17,0.19,0.15,0.15,0.15,0.19,0.20,0.21,0.22,0.23,0.23,0.23,0.24,0.24,0.25,0.25,0.26,0.28,0.30,0.30,0.31,0.32,0.30,0.32,0.33,[object Object]
CAF,Central African Republic,MtCO2e,0.18,0.19,0.19,0.20,0.21,0.21,0.21,0.22,0.22,0.23,0.23,0.25,0.24,0.22,0.22,0.22,0.23,0.23,0.16,0.16,0.17,0.19,0.19,0.12,0.12,0.18,0.20,0.22,0.22,0.23,0.24,0.25,0.23,[object Object]
STP,Sao Tome and Principe,MtCO2e,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.10,0.10,0.11,0.11,0.13,0.14,0.15,0.14,0.14,0.14,0.14,0.15,0.13,[object Object]
Data source,GCP
Data for,Location: Sub-Saharan Africa. Sectors/Subsectors: Total fossil fuels and cement. Gases: CO2. Calculation: Total. Show data by Countries
